Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Red,FALSE,Featherweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,177.8,187.96,145,0,1,0,1,0,0,1,0,0,0,0,0,1,Southpaw,177.8,183.8185864,145,28,24
Red,FALSE,Bantamweight,3,0,2,0,3,3,0,0,2,3,0,0,0,5,Orthodox,167.64,167.64,135,0,2,0,3,4,0,0,0,1,2,3,0,6,Switch,172.72,177.8,135,38,26
Blue,FALSE,Women's Flyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,162.56,162.56,125,1,0,0,3,3,1,0,2,3,0,1,0,6,Orthodox,167.64,172.72,125,30,34
Red,FALSE,Women's Strawweight,3,1,0,0,1,5,0,0,0,3,0,0,0,3,Orthodox,160.02,162.56,115,2,0,0,1,6,0,0,1,3,0,0,0,4,Orthodox,162.56,160.02,115,34,33
Blue,FALSE,Welterweight,5,2,0,0,3,6,0,0,0,5,3,1,0,9,Orthodox,180.34,187.96,170,1,0,0,4,2,1,0,0,3,2,0,0,5,Southpaw,182.88,187.96,170,34,26
Red,FALSE,Welterweight,3,0,1,0,4,3,0,0,0,1,0,7,0,8,Switch,180.34,182.88,170,0,6,0,6,2,0,0,0,5,2,1,0,8,Southpaw,182.88,187.96,170,30,27
Blue,FALSE,Light Heavyweight,3,0,3,0,3,0,0,0,0,1,1,1,0,3,Southpaw,193.04,195.58,205,2,0,0,3,2,1,0,1,0,2,0,0,3,Orthodox,187.96,190.5,205,29,29
Red,FALSE,Bantamweight,3,0,4,0,4,1,1,0,0,3,0,1,0,4,Orthodox,172.72,175.26,135,0,2,0,2,0,0,0,0,0,0,2,0,2,Orthodox,167.64,175.26,135,28,25
Blue,FALSE,Welterweight,3,0,3,0,3,0,0,0,1,1,0,1,0,3,Southpaw,180.34,180.34,170,0,2,0,2,2,0,0,1,1,2,1,0,5,Southpaw,185.42,187.96,170,36,31
Red,FALSE,Middleweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Southpaw,180.34,190.5,185,2,0,0,1,3,0,0,0,1,1,0,0,2,Orthodox,182.88,185.42,185,33,29
Red,FALSE,Featherweight,3,0,1,0,1,2,0,0,0,1,0,1,0,2,Orthodox,177.8,182.88,145,0,4,0,4,0,0,0,1,1,0,2,0,4,Southpaw,172.72,177.8,145,31,25
Red,FALSE,Lightweight,3,1,0,0,2,2,0,0,0,1,1,2,0,4,Orthodox,177.8,185.42,155,2,0,0,3,2,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,31,25
Blue,FALSE,Featherweight,3,0,2,0,2,1,0,0,0,1,1,0,0,2,Orthodox,170.18,180.34,145,0,2,0,2,0,0,0,0,1,0,1,0,2,Orthodox,182.88,185.42,145,27,30
